fffbebbbfe12,fffc33ae7370,0006ecb569d9,000c3298b5ca,00119ba85f99,00123ed47f74,0015abfe979e,001bbd3bab28
0024facf4240,002321a38e68,0029e971cc8c,002cce6e867d,0032723cabbe,0034d2e16068,0033f2d56894,003abe60d5d6
003ab922566d,003654e31414,0039bf7f2ed2,0038902ac65a,003843ae4ae2,003666263e16,0033bef90975,002ecafd1966
003291c03b23,0029a08228bb,002533f5d526,0024065cd222,001fc03dfc3b,00160839f5d6,0012922606b4,00129be62fd0
000ce53dd495,00031c909d5e,fffd1760debf,fff7937d1b13,fff8387b3060,ffee289ef082,ffea727abc2e,ffe3652cf7ca
ffdfa57c52dc,ffdd2decdd94,ffd6593127b1,ffd84c4f35c3,ffd3315875d3,ffce2e5aad6b,ffd31c78be65,ffcd3dca41b4
ffcc46fcfa72,ffd019498922,ffce40094f0a,ffccf3292fb6,ffd0e19a469b,ffce1fcfc247,ffd0079a8c22,ffd3ac1d029f
ffd95543da28,ffd9ae4bd307,ffddf5d15860,ffe44683cf90,ffe44410b0f0,ffed6ba009ee,fff0428656f4,fff5f1324c09
fffa6add2346,0001be43a2c3,0009e1501a45,000ab34f7070,000cf124fbbd,0014ab30a350,00183ee620fa,001f1ca8fcf3
00261b85eacd,0024f95b59bd,002cdd42532f,0030714c0b5b,00336ad30f6b,0033d271b8cc,00396dc6982b,0039b1d6746b
0037e6fd7999,0036d4ca669b,003871aedd25,003a5173d2ab,003587a78ee7,003b2a9820f4,0031cd953392,00356ef56266
00312d4cf3b8,0028467abb9e,002b081a2438,002075221c39,001d5959413d,001d4fc9726d,00146f9224e6,000f153ca06a
0007a026880a,00056966b8a0,fffc49b5ca12,fff9db06d0fb,fff4d53a6c65,ffef20c9a30f,ffebdee790af,ffe6e5cd9564
ffe032b57e64,ffdd80b6e1ee,ffda7ae5c391,ffd9185b242e,ffd5249834c6,ffd258781510,ffcbd6741e4a,ffcc596189d7
ffccf88b79f2,ffcd8d7c6d6c,ffcf23d54762,ffccaf0965c3,ffd090c3a8b7,ffcde23ac49c,ffd200a465cc,ffd626265f71
ffdbe9fc1af6,ffd6d8bcd63e,ffda478cb26e,ffe292fa8e17,ffe4ab2b5736,ffec8ad7cad1,fff1890ccc8f,fff4449d6cfe
fffdc91ff696,00016375c17b,0006a3ba3eae,00083d385cb8,0013fa5b9306,0017248e56a2,001a9a287ac2,001c9eff4066
00238980a3b9,002a886238c7,002850e4e2be,0030e8360ea5,002d2ae018b9,003524609cb8,00388eecd027,00368da296bb
0038b8ada5a6,0038be8682d8,0039d002ce2e,0036e550942f,003952923708,003568d7034c,0036de2c9cb5,002ffd215acd
0031c51ba5cf,002db44ccbbf,0028b4610567,0023593ab6f4,001d92e3ff1f,001e9fa56266,00129773c057,0010aa032c90
000b8f57c333,0006a8595db1,ffffb5771857,fffb6f528302,fff4d3a4d1b9,fff1f0d46be2,ffe9a762f5f2,ffe682858b76
ffe0e7128944,ffddf5d904d7,ffdbdeb71da0,ffd69560d14d,ffcf8d8b6441,ffcffe246ec1,ffcc94de5c5a,ffc9cc418d44
ffcaca62d722,ffc7d762edc2,ffc97b3863b3,ffcc55fed734,ffcfeee039cd,ffce731cc72f,ffd0e025bfa8,ffd77e49bcdb
ffd588b248a2,ffd9bfb84028,ffdbfc788ce7,ffe1f0b5217d,ffe96f8504ec,ffeb0cbb53f3,fff164912a3f,fff7fa4d4768
fff9d87ac016,ffffd8e33946,0006eaa75333,00084e9cba7a,000f34554131,0015e5654cb6,001a68224bcc,0022124b6a61
0024769b4d61,00297b68bc2d,002b89d4d221,0032031ce16d,0031e5788fad,0039fb7a76a1,00390651e02c,00378ea3084d
003d38ad2949,003a11eae322,003c3a5ff5dc,0037c9d80d38,00343534578f,00350ce4ac32,00352147671f,00301ff09ce7
002a610d6980,0029cae8a504,002938f37bb9,00237086fedc,00205305ef0b,00195064a07c,000fab4e2d79,000e85753f3a
000a7902d87c,0006c6fe7632,00038cd0e1f9,fffae2e21504,fff5a0b4e027,ffed1f61a3f9,ffe735cc3b9c,ffe539bd83b4
ffde8041b612,ffdb4c2af617,ffdc86182b49,ffd9c77e7a05,ffd125612854,ffccf909f648,ffcfa686e715,ffce426f0cef
ffcb0517c5a3,ffcb2907dfe7,ffcf2619591c,ffc98c2cf584,ffcf76188fee,ffcecd366f82,ffd0bf10d6fb,ffd3201afe59
ffd673876e99,ffdb8c5c7f7c,ffdc0ff0853d,ffe21be39b4c,ffe3317773b8,ffec7d992cbe,ffed493e7374,fff4bba9c3b9
fffedcf2b52a,00024f00c8d2,0004d1ed4ef3,000da301c722,001210e35507,0013ffc11916,001dc348011c,001f15fb2025
00254e64a3e0,0029c673c066,002cfa27ee11,0030fd1d82b0,0030cec203c1,0032d86d8fe8,00356c3f06c1,00373632f933
0039a181206e,003d7794ecce,003a8b3668c5,003746e22964,00381d67202a,0037ad4d5666,0034752cfb4a,00340c2579d6
002bd0c2a444,00295c8b0826,0029f13f7fd3,00234ff77cf3,001e311b1988,001a99f1baba,001620b2e48e,000db5370be6
000afe3963b2,0006ae097627,000253d69ff8,fffb09ed92a4,fff4236766df,fff10247e325,ffeca132d3e1,ffe5ef379d47
ffe709092eb0,ffddc6b4cde1,ffd95986646b,ffd63a2672b1,ffd20d127e81,ffce869cf278,ffcfd7951b62,ffca11f7a7bf
ffcf3d7ab11c,ffc959a44213,ffc829fc44b5,ffcc13a3d07e,ffcd00f6ebbe,ffcd2afc22ca,ffd553a92794,ffd430701f45
ffd597edea19,ffda92e699ba,ffddfd2dcd6f,ffe53713d822,ffe7c88ae74a,ffe7b52cd543,ffee47d76cd5,fff570ecd31d
fffbe12c2654,fffd614b9c94,000a036e6f37,000d46d40f28,000e2a3b8dab,001662806903,001a443af165,001cbd1b69c5
00277d507620,00244184db87,002dc8c9c969,002cfb6b3fcc,0031ab89dcc8,0033948112e0,0034810de6ab,0039a4c71363
003a0bfbcb37,0037505b2f7d,0035a4ff7465,0038f8248a02,003766879839,00359f6d1709,003629f63ee4,003409f6f6d7
002c947a0019,002b256d4bf8,002713386aae,0023330f4bf5,001c69011d5b,001c0272d33a,0013bcf7b0fd,000c89eefa6d
000b507bc35c,000602e2bcbd,00025cf63526,fff7a276c316,fff3a36c0ecd,ffef5974a87c,ffe7cf7c8dd4,ffe2d8bdedc6
