002004fed884,002da8505a26,0037a8cfe228,004120ee1743
004ab89c9939,004ceae1fa4d,0050337fca24,004e9f17fd63
005009056bd7,0041c9536e04,003ffe372546,0034d006d6c1
00295b000f60,00183ab9ea07,0006dfb241b1,fff7564b3774
ffea5d016f1f,ffdd078332e6,ffcd8474ee06,ffc517535327
ffbe23c1df63,ffb9b285d130,ffb174006671,ffb789a0d1c3
ffb9b2467eb8,ffbd68a54c18,ffc6cad12463,ffd5865cea9e
ffe2cff7df9d,fff133012a66,000007f53b58,000e38e65aa6
001b190fa8a3,002b90c17fe2,0036e41396ab,0042c44fc76c
004b55c42a1f,004ec981662c,0053598163df,004ecec99bb5
004e242a1e79,0048af550510,003f361acd8f,00348dff9218
002529dfc004,0017ec8f6faa,0007cc785db3,fff259a6aa54
ffe9f0bd6214,ffd95d5ee738,ffcfef270290,ffc6161813c6
ffb98c2dea0f,ffb8246cc59a,ffb45812e82f,ffba0c1c2284
ffba20e109de,ffbc75c3114f,ffcc5fd46024,ffd6146430ad
ffe27d91bdef,ffefec4ee985,ffff2ddaab10,000f7732c552
002052b89a4b,002eff7e21e2,0037f3231157,003f0e5dd7b4
0048a4fb93bd,004f45a19ab4,0051b4abe2bd,0052ca159215
004d505d2c77,0043e8fb1b47,003c04d6c141,0030f86e62ce
0021a56c0bf2,0018458b0125,0004bde10ab5,fff58d494273
ffe9c9f11395,ffd80aa842fd,ffcf75833ba1,ffc37bdbc5e9
ffbfc7709d9c,ffba3c896f84,ffb8db7c397c,ffb789da20f4
ffbe033b634b,ffc1284ef3c8,ffcb5759758d,ffd593cb4a48
ffe57206dde2,fff1ed55dee4,fffb11219ce1,00112e5360d8
001c1e47a812,002f53ad7928,003bb38e2533,00416705c1f1
004b63430294,004fcbbed5d5,00524bc22271,00517d359a58
004a4e1fcf9b,0047ccabca2b,003f66655841,002ee148c20c
0023e98455a7,001706e66804,0007acaa729d,fff754fed1e9
ffeb954dd575,ffd744004ee3,ffcf54a36c09,ffc409eec64a
ffbdc363c561,ffb36b21879e,ffb846ae11e4,ffbbe09768d0
ffb7ef775a02,ffc243bf7f52,ffcb89388b7a,ffd7c4a56fbe
ffe3f74ba631,ffed70162a5d,0000eb057142,00118a27e4c4
001e1d972cf9,002e1da6ed8b,003a6407ad4a,0044ab960a12
004a12e1ced3,005059a2b2b1,004ef8f63471,00520b2b567f
004e3947c245,00466584d85b,003ef9c630b3,0033f2984dcc
0028103c7ab7,00167398e940,00097c446161,fff9f0b20278
ffe354e7e6ff,ffda80784212,ffd17590b205,ffc7ee987ea1
ffbfc4f25728,ffbb51474fbd,ffb74d7f0495,ffb9a6ccb276
ffbaa59c4c68,ffc126a8aa7d,ffcad9c112f0,ffd2c5c66699
ffe224a2f361,ffef1dba77e3,00012433d1b9,001164d97d3f
00216a20b54c,002d66cf8ca6,00354cb3be51,0041f4c7c621
00499a5feae1,004c9f06aa9d,00508075c732,004df823fbc7
004c75b35b2a,0042d325c7b0,004082ffe5dd,0031baddaef2
0024ae3ff1a3,001996f4f7cd,000b21806589,fff4bc3c931e
ffe9d8cbe883,ffd8889eb74a,ffd13bbacd06,ffc69ca6fbc9
ffbad08ee6b3,ffba953cbe20,ffb924c567a0,ffb99501a3b0
ffbce36d2bdc,ffc3ad96cccf,ffca9a258b94,ffd4daf49156
ffe24b78f3a2,ffef4f6da5c0,00014489ea82,000eeda367a4
001e416ab9c1,002ac411385a,003463ba5633,004586a5cfd1
004851322db6,004dd2ebf424,0051dff13e5f,00527248e2c9
004c6e587336,0044bba3831d,003fcb4631d3,002fb3a0a354
001fe2999895,0015e74ba1a8,000662fa2928,fffa7362bd50
ffe96c45e026,ffdee0cbe721,ffd27059a6d3,ffc38de5bb95
ffbbdd0ca1bd,ffbb8660a8ce,ffb6547bcab7,ffb52d63dc7f
ffba4a465d64,ffbd08b7f3ad,ffcc163fc672,ffd64924dc69
ffdd883f5735,fff08a17b953,00027d012a5f,00115f5c0050
001c52c2d2ce,002dbf83dc76,0039dfd762f0,004324d1c8e9
004ba4222e54,004aca448b4b,00541bb5f8db,004d57b0c762
00516c2393cd,0044e7a19637,003da3f8875e,0032dec3b9b0
0025cd4c5aa5,0015c46b7e04,0009127b3205,fffb306d2f96
ffe7d7195bd0,ffde4b325c30,ffcd928e9cf3,ffc862d2cd32
ffbb207b84d2,ffbb006794e2,ffb0dd74083b,ffb4aa091411
ffb89253333d,ffc0e8e5b909,ffca62754cf4,ffd7ca828b03
ffe42de092bd,fff01c43abf0,0003e5b1191c,0011380c1103
001a4d732f26,002f3a2fb44f,003746d73cca,00437684d03c
0046cb5aa1fd,004f521ec43e,0053b1ce6e3e,0050fdd00bf2
004f7b30a2c9,0045958f6a73,003c5ba27509,003358f5a2ff
00264dc7c8df,001608425ce1,000852dbf371,fff5a078c040
ffebaefc4b1f,ffdbeea75e1c,ffcef394cf45,ffc3c8e5c3f6
ffc0b720fa3c,ffbae8f44814,ffb8fe4d3075,ffb44347435c
ffbcaf8bac74,ffc3426e8aeb,ffcac76b8142,ffd76879adf2
ffe49acecba9,fff1dd545e5e,00019f4df9ea,000fb09e0119
001e391b136e,002c5af7fdc5,003aa30d2a19,00415190d0cd
0046b9f63b58,004f4eabf34f,004f275fedb0,004f7256311c
004fa710686e,0048795fd1e4,003ca1bca646,0031e70838b8
00206c0c5e63,0012fcefe054,00055ab55b9e,fff85e632515
ffed6217a6b2,ffd88e99abd9,ffd292ded6b5,ffc2aab2f5fc
ffbc795e1ee5,ffb36188d6b7,ffb898484a38,ffb45a3932ba
ffb853a24592,ffc1b9c82639,ffc489a5ac8f,ffd472d0391d
ffe31c6de99d,fff01adf1a1d,ffffe7dbc6cc,000ea5201f2a
0022b849cf43,002da1570539,0038046680d1,004413edb0f5
0049f6dc0674,004ebc60a737,00537b65d001,005637191f57
004d28460970,0047d186b0ff,003d6171adcd,00332a9ebea5
002577269572,0018812b3139,000ae6dec8b0,fffbdaed5558
ffe8f856d898,ffd9cd8117aa,ffcdbe8188ff,ffc2b823d8eb
ffc1a3d3beed,ffb9b6c59400,ffb1b2c5a4f9,ffb6348aee8d
ffb9b1b81009,ffbff5b1c05f,ffcef847982e,ffd4e21ae21b
ffe26804e7aa,fff11f184a88,000397020489,0010d9639742
001d9b78773e,002b44d05a5e,003534949d7a,00463470d7be
0049b7a2f02d,004accb013c1,00516fd503de,004db5c83fa4
004af8862bcd,00465b3563df,003db11b8a1e,00317e62905a
002270284089,00179786440d,000ce1d5a338,fffb815aff9d
ffe890a981bd,ffdf3f1dbc2f,ffcfe7ce44c4,ffc7748c0662
ffbb0a0ae320,ffb9c337ab21,ffb40124311d,ffb56019dcb9
ffbce1b95d89,ffc1da92d2ed,ffcba244a0b7,ffd68031ead7
ffe31f30e384,fff23bcf8c1f,fffcd35a2fe7,000dba6f9999
001d46ab9e76,002c566ecf61,0037c384c464,0047320e47fb
004e242541bc,004e30385d79,004f9936976d,004da9d9f807
004ba0ca71f6,00480b653bce,003c74cf3cfa,00324df3bddf
002aa558b786,001bee409b69,0004ef913896,fff91cf327fd
ffead68ea922,ffdba2da6a0e,ffcfa2440917,ffc35ce9358c
ffbd6f91f6b3,ffb3d8af329a,ffb39b074db9,ffb59656b365
ffbd19792b87,ffc322321355,ffc6733b2eb0,ffd335afe06f
ffe2d7e1fbfc,fff31da1e504,000172563a05,00105121bf1e
001fb13b6db5,002a689a63e2,003caeb7258e,00423e4baaa6
004a63ccc682,004e1221be5a,00540fd4fc23,0050e7dc32dc
004d238cf289,0046ca7dc4a6,003bfca712da,003534740f0a
0020f7205d0f,0012bdf31c89,00088395e09b,fff84ff93bf9
ffe7cc787004,ffdd413c2696,ffce50b7833d,ffc623df6f3b
ffbea4964e33,ffb9763cf214,ffb621f40050,ffb68624169a
ffbb3a6187cc,ffc2bcfdbcb9,ffc7466935ea,ffd5a69b7fea
ffe07bddfccc,fff34498f6ce,00032bbb549f,0012cd449897
001dbbd7d9cb,00312b950120,0039be9ee6b1,0042bc04adc0
004bb13770db,0051b109106c,0051ad27e02b,004d691a32ca
004a2d772c00,0044f791c247,003e82de1a67,0033b7526014
00263dce50f3,0016055d4569,0008daa3597a,fff7d976cbea
ffe7c87517f1,ffda906b1c68,ffceb7654c76,ffc5169bd048
ffba1c788e83,ffb89fdbc938,ffb36ddc8c00,ffb55aa1c89d
ffbd3bb9a860,ffc61da84ce1,ffca3fe12ed8,ffd6888c8c02
ffe390aa63c1,ffefa3d7098f,fffd28cda891,0010850d1d37
0020a6793a55,002f172d726b,0038ab7192a5,004341da5650
004e07270a3a,004df8e9cf92,00503abef01f,004e2d976b1c
004fd79d7561,004b26ddb47d,003e17f09d24,0032b0ec7464
002621bd1b5f,0017f8b0d69b,000845a9f0b0,fff74a091159
ffe8e11c41c7,ffdd3295bff0,ffd0456eabec,ffc30426f823
ffb91aee8a2f,ffb8e21993d6,ffb685bbcb7e,ffb33eeb7ad7
ffb86b99181e,ffc57ead62b3,ffc6f64be696,ffd8886023fd
ffe2b63b0d4f,fff039c85e2e,0000a7543e2c,0010002879fa
00212583919d,002c688fd5a4,0039a1d27020,004557ddc5e1
004bfe9247f1,004e410e94b5,00527fa79c6f,00511ff89298
00500cffa02e,00498c64eedb,0040cb3e84ca,00334fbd5b8b
002473c4a41c,00199e5e18c4,00065ccfda35,fff828918cb8
ffea353545b1,ffde5a56adcd,ffce3cd02a47,ffc62a8a376a
ffbcb103dea9,ffb755881e93,ffb4f55a7cc1,ffb7bc2e2224
ffbba682f020,ffc044a25552,ffc75747f660,ffd6326e6b20
ffe4d3565c90,fff0bea4de7e,0003be794aa6,000f3a9cfb6c
0021685921ea,0029f0525770,0036b7b2026e,0043c960f89d
004ed9d7250f,004fd12097fa,0052265d52c3,0050149454c3
004c97df3cc7,004ace6ec68f,0039fe4da24e,00324bc8a47d
002803006a15,0018f39cd8ac,000343b0218e,fff56a760cdf
ffe87a9a3753,ffdba306da03,ffcbb38956ca,ffc47c0600d6
ffbadd2af55f,ffbc71da532f,ffb8a70f038b,ffbb91c2d41b
ffbcc663fd30,ffc01893725b,ffcb3df9f1b8,ffd5498f41fd
ffe1979dd190,ffefa50b810e,00018ca940f5,000af6fc00b8
001d5b5f22ee,002b655895bc,0039f98ab3c9,004096cb0151
0049ae4610ae,004fae203ff6,00518d6fc6f0,004d83750ada
0050ec08b691,004808e0b1fa,003cba2f95b1,003194331ed8
0028297ff0e4,001455b0f754,000993191e6d,fff97f6ab041
ffed936f1002,ffd9fad8b3af,ffcca4c2ee98,ffc6c37dac63
ffbc0f40f08f,ffb9cb11a3c2,ffb3e39b4e07,ffb2950daca2
ffba041562d6,ffc4659619ee,ffc97250e39a,ffd170d881c6
ffe61730c8ef,ffef4418abfe,00011ad2e795,000d24f5aeb0
00201f04cc48,0029853883fd,0035f2530f9f,0043068a768a
00471c9b68e6,00544c6464cb,0056f99152f6,004ff8475d29
004de5503f48,0045db0a4ae9,003d4a733b38,002bf579f6c1
00286deceb94,0017ec7d9e27,0003995c64b6,fff55f4ef6a0
ffe968ca86df,ffdbdca23d61,ffce8f25f586,ffc70fcd48e5
ffbb7329a436,ffb72b2e5bc1,ffb7b28949e3,ffb49c74f8c0
ffbb210cfc86,ffc11218be5d,ffccf1e8969b,ffd34f38f509
ffdfe001766c,fff35fadefb6,ffff73e6c9f6,0010629e74ac
