ffff95b994dc,ffffb5208328,ffffd5952bcd,fffff421f196
000388b6f409,0003b815e170,0003eaaa7284,0004143340a7
00043acad71a,00046b69422d,000497177679,0004c41bc03e
0004e558cd71,0004d0493b6e,00049fb0ef0d,00046532aa74
00041d52e9cf,0003cbe02f00,0003741f091f,00030f7f85bf
0002a728498f,000253ee4eb2,000206f32e62,0001b5abd19f
0001634daf51,00010f5005c4,0000b6c76401,000060af22ff
00000515e37e,ffff8f2ac914,ffff0e2332a9,fffe8357b788
fffdf45889cf,fffd751e27e9,fffcf8675542,fffc7ead9106
fffc043f424a,fffb7158065b,fffad58ec8ab,fffa47ca625f
fff9bdd25d70,fff9244a3b9f,fff89381cd4a,fff7ff742423
fff77f957a08,fff75d2e53ca,fff769b624fe,fff78a8b2dc2
fff7c2afd8fb,fff803d74991,fff84f6ca7b0,fff8af046ac2
fff917405829,fff96e8829ff,fff9c3d15643,fffa1df71aaa
fffa7c096254,fffae4b80535,fffb54470cca,fffbc65dc3ed
fffc3d3306a8,fffcbbe12def,fffd3eb8a798,fffdc8e1bd2e
fffe55acde16,fffed8c02aeb,ffff5b547a23,ffffdb638f31
00005d3f6f43,0000f6126798,000198060339,0002311cf4c6
0002c8d7a768,00036c4efe79,00040a132324,0004ab5d852f
00053e963f66,00058d77d20d,0005ba68c1e0,0005d8b9af6a
0005e664a265,0005ee9a5034,0005efa20edf,0005e2822c82
0005cf2de9c7,0005c6ff41a1,0005bfcc34f3,0005b55fa052
0005a8056d42,000592699e52,000577df2030,00055addef59
00053aaaebc3,00051781b77f,0004f2383817,0004c8571350
00049c94ff14,0004758363d0,00044e041905,00042766e3b9
0003ff0abf75,0003c88805de,00038be2d318,000353ab57ca
00031b617cef,0002db099271,00029cfd493c,00025c0de1d2
00022250df8c,00020f847599,00020fb3785f,00021640a684
0002256d5bf1,0002396fc41d,000250cd0354,0002703953d6
0002918233fb,0002a46ce625,0002b2b5b8fd,0002c2d736f0
0002d30817ff,0002e45fb889,0002f8095515,000309dd09dd
00031e5bdb03,0003410004ec,000369558f02,000396e40d79
0003c658e365,0003ec081b5c,00040fcc7e66,0004314fcacd
000452dccbc7,000482cba908,0004b7c6e12c,0004e3ff5af4
00050db17b83,000540ba07b7,00056e5ff629,00059dc7ab93
0005c0eeca37,0005abada1a8,000579fd2b76,00053ca5e457
