0016d6c8e9,002b06dcc6
001f96faf4,00116a2b31
001269b351,0008daa6c0
fff940556c,fff10d5970
fff82addd9,fffc4712ba
fff9b96993,fffc98cd7e
000904ed7d,0015503504
001225b608,00178e5b00
002712ffd8,001d3824a0
002517282c,0016684ecb
000dbcddd9,000fd42009
fff96e3878,fff9107488
fff8ca7414,fffa344d71
fff28903f4,fff8c53fb9
0007f4e04e,000da73cee
0014077790,001a85b7ab
00234de27a,0026701bab
0019f0e35a,00148cfb15
000e53b5d0,00074c6f1e
fffd080853,0000a2c7e8
fff3ebe7d6,fff6860a71
0000777885,fffc0ad774
0007b35282,001581aa01
001306a01f,0018c6c53e
0023d968ed,0021958a44
00225b2cf0,0016b96e5b
0014f7dc8a,000bb7b60a
0003deb6f6,fffb962c22
fff9a1fb01,fff4b244bc
fff5fa55d5,fffb00b275
0006dbd36e,000e2704b1
0012455630,001d1130ce
001bccd677,002391226f
001bf3aa78,001b0d2744
0016cd829c,000ae181cc
00006a4bff,fffe1e6db9
fff4d8712e,fffa57cfe5
fff745af58,fff953b3a7
00020af918,001205f003
00187d7f36,00231a92c0
002404c269,0022a4127e
002348adc8,001d109258
00192abb74,0002d43a86
00014b55ed,fffcd07251
fffa84fbea,fffa619dd5
fffdfe6437,fffea8d7c4
000348e97b,000972495a
001120e20b,001e1beffd
001d9afa25,001d43ed9e
001a43c81d,001d578ebc
000cb6ae48,000215d860
fff6f23fc6,fffa0b10a7
fffcc0c875,fff6224b1c
fff522b79c,fff8b6db0c
0006c62e60,000d93b71b
001a49fd5d,001e57c70e
002115805c,001edd6e46
001df8e83e,001d746d8e
001151d29f,000539bfec
fffdf723f7,fff9906c18
fff8e799b6,fff2992ae4
fffb955433,0004c438de
0009ff62b7,00116041c1
00118ecfbf,001bd2644d
001d8ce29b,0023075021
00218d6a68,001be1b971
0015259c11,0008e36ee2
0008ef4da6,fff2d746c0
fff5a2ab69,fff381a82d
fffefd2dfe,ffff88356c
0004cc33f0,000fabc851
0017fb8812,001ba8d1c5
00174a1178,0020a18e51
001fcfa39c,00132c2b89
00121ebab4,0003c1eecf
ffff396eb7,fff205eeaf
ffeebe288e,fffb675c3c
fffa834a64,fffb783538
000252e47d,000ee60061
001388f522,001ba54f2a
002416932a,0029c606a8
001ea8b105,0016b4d430
00160e4f41,000a8d322e
00018167fe,000090e32d
fff12086bc,fffd3e890a
fff800b007,fffcba7d5e
00069c6480,0008b1e54a
0012d62b94,00259122d5
001d2d8c9a,0021257328
0020223682,001b37928a
000cb9f091,000b025d02
fffb83698d,fff71d12ed
fff2f3e9d4,fff8e22561
fff50435b6,0002ecfee5
0007d28923,000d9c3386
0012018d0a,0020d26a0a
001eb57e1d,0027ee0928
001ca8f5a8,0020370df2
000ab7e067,000728dd0f
00033ccac2,fff9c1cb02
fff3a90c20,fff6d192ca
fff51e1d8c,fffd5ab4e2
00112b1461,0010aba2b1
00148e73c3,001ec83be7
00236c5516,00220dabbc
001a89b152,0018003df3
0017ea7fb0,000a03832d
0003cb3037,fffeae547a
fff845ac2d,ffec4a5500
fffacca3ca,ffff9b504b
000259b09b,001017836b
0014cf2463,001d7d02a1
001f11f4a1,001ded7c87
001c410c61,00167ae318
000f9cb9e5,0003f01651
fff91626d4,fff925d69c
fff363608b,ffeca8bd84
fff7df28de,fff44260a2
0011af51b6,000efd7193
0018725e25,001b26e875
001b85a6a8,001f64834e
001b8d5e50,00193343ad
0009c48d46,000218039e
